genetic;exercise;smoking;alcohol;sugar;lifespan;BMI
78;2;0;9;2;84;28
82;1;14;1;4;65;25
81;1;12;4;4;72;21
81;2;19;6;2;72;25
80;1;0;2;2;83;26
82;2;17;0;2;80;19
78;2;0;7;1;92;19
80;3;17;0;2;89;24
80;1;14;5;1;76;21
82;1;18;9;2;65;24
81;2;19;6;2;76;22
78;1;1;10;2;77;27
81;3;5;9;2;92;28
82;2;3;5;3;86;25
78;1;10;6;1;72;32
81;1;15;0;1;79;17
82;1;6;4;2;79;25
81;1;5;1;2;77;24
78;1;2;8;2;74;23
79;1;22;3;2;67;21
82;2;1;2;2;93;21
79;1;2;3;2;78;29
80;3;9;3;4;92;25
79;2;20;6;1;76;21
78;3;15;6;1;84;33
81;1;4;6;1;78;18
81;1;0;4;2;83;18
80;1;1;8;3;74;20
80;1;10;6;3;66;25
76;2;21;1;1;75;24
77;3;1;9;3;87;23
79;2;2;1;3;89;19
79;1;0;6;3;69;29
80;2;20;1;3;66;29
78;1;17;6;3;60;31
79;1;7;8;3;70;23
81;3;9;9;3;85;25
79;3;12;2;2;93;19
82;2;9;8;3;87;20
81;1;0;7;3;76;22
80;1;22;8;3;63;19
83;3;8;8;1;96;18
80;3;1;2;1;104;24
79;2;5;7;2;86;19
82;1;20;9;3;58;30
79;2;22;1;1;77;22
79;1;14;9;2;61;27
81;1;2;9;4;66;21
82;2;0;7;3;85;24
78;1;16;0;3;71;16
79;1;17;9;2;63;20
79;2;0;3;3;95;17
81;2;1;4;2;87;21
81;3;6;5;3;90;23
79;2;7;7;3;68;35
83;2;14;6;2;88;20
84;1;22;9;1;70;21
84;1;14;7;3;67;21
82;2;21;9;3;68;20
78;2;4;2;2;88;19
81;2;8;8;1;81;20
79;2;17;5;2;63;33
83;3;5;9;3;90;24
80;3;17;8;1;84;24
81;1;12;8;1;68;20
82;2;8;7;3;73;29
78;1;17;7;1;71;18
78;1;0;8;3;76;21
82;1;0;7;2;85;22
79;1;20;7;3;59;19
79;1;14;9;2;65;23
79;1;16;3;1;68;30
78;1;21;6;4;59;21
79;1;8;8;1;75;24
80;1;17;6;2;72;17
79;1;13;9;2;67;27
82;3;14;6;2;97;19
81;2;12;9;2;75;30
82;1;13;7;4;68;25
82;1;0;7;3;73;30
79;1;11;1;2;74;23
82;0;1;0;4;76;16
78;1;6;9;2;68;19
81;1;5;7;2;80;22
81;1;22;7;3;65;20
76;2;3;3;3;81;26
80;2;20;5;2;66;28
81;2;21;0;3;75;25
79;2;10;9;2;82;25
77;2;18;2;2;81;17
80;2;11;3;2;79;27
81;2;18;4;1;88;16
81;3;4;5;3;96;18
80;2;21;3;3;77;21
81;2;12;3;3;75;28
77;2;7;0;4;75;28
79;2;5;9;3;72;27
81;0;8;8;1;71;21
76;1;0;1;2;72;31
79;2;1;1;1;89;30
80;0;18;2;2;56;32
80;1;15;9;3;66;23
82;1;11;10;2;62;27
78;1;4;5;2;81;16
80;2;8;6;3;76;30
82;4;6;7;1;106;21
79;2;19;9;2;64;33
80;1;9;8;3;70;19
80;1;12;7;2;73;18
81;2;19;8;2;74;18
81;2;21;9;1;75;17
81;4;4;4;4;99;24
81;2;20;8;2;59;40
78;1;13;9;2;67;14
81;0;14;6;1;63;21
82;1;0;9;1;87;20
81;3;0;7;1;99;22
76;2;8;6;4;67;26
79;1;22;5;2;54;35
81;1;0;3;3;86;22
81;0;0;9;3;64;32
78;2;1;4;1;95;23
80;1;8;6;4;72;20
80;3;10;1;3;89;26
81;1;15;9;4;59;25
82;1;9;3;4;59;38
78;1;18;1;3;62;27
81;2;14;6;2;77;26
79;1;6;9;3;63;30
79;0;7;2;1;73;23
80;2;11;8;2;74;25
81;1;19;2;3;58;30
80;2;0;9;1;91;21
79;1;21;4;1;72;20
82;3;10;4;3;90;27
81;2;2;8;2;81;25
81;2;15;6;3;71;20
78;2;21;7;1;68;20
80;1;20;0;2;70;21
81;2;20;6;1;72;21
82;2;14;9;3;76;21
80;2;20;3;3;75;24
76;4;8;5;1;101;18
81;1;6;9;2;66;35
81;2;1;8;2;90;18
78;3;13;6;2;83;21
78;1;3;3;4;74;29
82;1;6;9;2;82;20
80;2;9;7;1;87;23
79;1;12;6;2;65;27
79;2;10;8;1;78;27
83;2;0;9;3;84;27
82;1;9;8;2;64;39
82;3;12;6;1;91;25
78;1;22;7;2;64;22
81;1;5;6;3;77;22
81;2;19;6;3;66;30
79;1;6;2;2;75;22
81;1;13;5;3;73;20
81;1;1;8;1;76;31
78;1;13;9;3;65;16
79;3;17;4;4;79;20
81;1;7;3;2;79;23
80;1;20;6;3;57;30
81;1;10;9;3;70;23
79;1;17;0;4;65;26
81;1;16;8;3;64;19
82;2;19;3;2;80;25
81;1;3;7;3;80;18
84;3;0;8;1;104;18
80;3;0;8;3;86;33
80;1;0;8;5;69;26
80;1;20;8;2;60;27
82;1;11;5;2;70;22
82;2;7;7;2;79;29
78;0;12;7;1;61;28
80;3;0;1;3;102;21
79;2;21;6;3;70;29
81;1;4;4;2;80;21
80;1;0;0;3;87;22
83;1;1;3;3;78;23
84;2;1;8;2;90;19
79;1;20;0;2;62;30
82;1;10;7;4;59;33
81;1;16;9;2;64;22
80;0;18;7;3;56;21
81;1;0;4;2;78;28
82;2;18;8;2;67;29
79;3;0;8;2;91;25
81;1;7;7;2;76;24
80;1;19;6;4;62;20
81;1;0;6;3;78;23
82;1;2;7;3;70;26
81;3;9;5;3;96;20
81;1;10;2;4;76;18
79;1;12;6;2;74;23
80;1;16;3;2;66;18
79;2;10;6;2;74;23
80;1;11;5;2;76;22
82;2;0;8;1;87;24
80;2;12;7;1;80;28
80;1;0;5;2;71;38
80;2;22;8;1;68;23
80;3;5;0;1;100;24
80;1;21;6;3;60;25
82;1;17;6;3;68;21
83;1;4;7;1;85;18
76;2;14;5;3;72;21
82;1;4;3;1;78;27
83;1;17;5;1;77;22
78;1;0;4;4;79;17
81;1;8;5;2;74;19
82;1;4;8;1;82;18
80;2;19;6;2;74;24
80;3;1;7;2;94;24
83;2;4;9;2;86;22
80;1;0;8;4;72;21
78;1;8;0;3;78;21
78;2;11;5;2;75;28
81;2;20;2;3;79;17
81;2;20;1;2;78;17
80;2;4;5;3;80;34
82;1;12;1;3;73;20
79;2;22;5;2;74;22
78;3;18;0;2;90;19
83;1;15;9;3;63;32
81;2;3;7;2;79;30
76;2;18;8;2;60;34
80;3;9;7;1;92;21
80;0;18;6;2;53;31
81;1;10;9;3;73;19
83;3;16;5;2;81;35
78;1;17;8;3;51;36
79;2;2;8;1;81;29
81;1;1;9;2;77;24
81;2;6;7;2;79;24
79;1;0;7;3;76;25
78;1;12;8;2;69;16
77;3;4;3;5;84;24
77;3;18;9;3;73;21
77;2;4;8;1;86;24
83;1;12;5;3;69;22
79;1;21;7;1;71;18
81;2;14;6;1;84;16
78;2;17;8;3;66;20
82;2;8;9;3;78;24
79;3;0;5;3;95;24
81;3;17;6;1;82;27
80;1;5;0;4;74;26
83;2;14;9;1;74;35
79;2;11;1;2;87;22
80;1;20;7;3;64;18
77;1;1;5;2;70;28
79;1;1;6;2;83;19
80;1;8;6;2;70;24
82;2;4;8;2;87;18
76;1;12;9;1;60;25
81;1;3;8;1;83;18
80;2;20;4;2;76;28
81;2;11;3;2;83;21
78;2;19;0;2;81;26
82;1;1;5;3;78;23
80;4;19;9;3;74;39
84;1;21;1;3;68;26
82;1;1;6;3;83;19
80;2;14;8;2;71;24
80;1;11;8;3;70;21
81;1;14;9;3;59;29
79;3;19;4;3;91;18
82;2;17;5;3;79;20
82;2;13;3;3;81;20
80;2;3;1;3;95;19
80;3;19;6;3;79;22
77;2;19;1;1;84;14
81;1;1;5;3;80;26
80;3;8;9;3;84;23
77;0;13;9;3;58;19
79;2;18;10;2;66;22
78;1;18;4;2;63;24
80;1;10;7;3;67;29
79;2;4;8;3;81;18
79;1;20;9;3;50;24
82;2;5;8;2;91;18
80;1;19;4;2;71;22
82;2;9;6;2;84;23
77;1;1;0;2;79;25
80;1;4;6;3;71;26
79;1;3;3;2;80;22
80;2;5;3;3;79;29
81;3;2;7;4;97;22
82;3;1;8;3;94;25
78;1;3;0;2;77;36
79;3;1;6;2;93;28
79;2;21;8;3;63;23
80;2;18;8;2;74;27
79;2;10;1;2;80;32
80;2;8;3;1;89;24
80;3;14;8;3;84;19
81;2;19;3;2;74;25
82;1;7;2;2;80;23
81;1;13;0;3;73;25
77;1;8;1;5;65;21
81;2;8;3;2;91;25
81;1;8;0;1;85;22
81;1;0;6;2;78;30
82;1;1;8;2;83;14
81;1;9;7;3;70;18
81;2;19;6;1;79;23
79;1;15;6;2;66;26
81;2;4;9;2;87;27
78;2;12;9;3;73;32
80;2;20;7;3;65;27
79;2;1;9;4;73;26
78;2;0;8;3;87;19
77;1;0;6;3;62;34
81;1;11;6;3;72;17
82;2;4;8;3;84;18
79;1;5;1;3;71;26
80;1;20;9;3;58;25
81;0;13;9;2;61;22
81;1;3;9;2;75;22
80;2;18;7;1;71;26
82;2;12;7;3;82;18
82;2;11;7;2;76;23
78;1;9;2;2;75;21
81;2;0;5;2;96;20
80;3;1;9;3;90;25
79;0;1;3;3;67;26
81;2;17;4;4;67;33
80;2;0;9;2;78;30
82;1;9;1;4;78;19
76;2;15;9;1;73;23
80;2;11;4;5;70;26
79;2;5;4;3;84;25
77;1;1;6;1;76;33
79;3;2;7;3;94;23
81;3;0;7;4;91;20
79;1;14;3;2;75;22
81;1;16;0;2;71;28
82;1;19;9;1;70;19
78;1;13;8;3;65;21
80;3;2;5;2;95;24
78;1;9;7;4;63;20
83;2;1;5;3;83;24
82;2;0;7;3;81;28
80;2;19;8;3;70;24
82;1;21;6;5;61;23
79;2;19;4;2;81;24
80;3;17;2;1;96;20
78;1;20;9;2;60;24
77;0;1;6;3;69;19
77;2;1;9;1;84;35
82;2;14;5;4;73;25
83;1;15;4;2;70;31
79;3;10;5;3;93;18
79;1;14;3;2;70;28
81;2;1;6;1;90;25
81;3;12;7;3;80;28
79;2;0;6;3;89;15
81;1;11;1;3;70;31
81;1;12;3;2;73;25
82;1;12;6;2;72;21
81;2;18;4;2;79;27
79;2;7;8;2;81;22
80;2;9;5;2;85;24
81;1;19;9;4;57;20
80;1;0;7;1;80;27
81;1;17;8;1;61;27
82;2;11;9;2;80;25
81;3;0;3;2;99;22
81;1;7;4;3;69;31
78;1;1;8;1;75;22
84;2;0;7;1;95;30
80;1;0;6;2;84;20
79;2;11;5;4;69;21
80;3;3;7;3;92;22
80;3;1;7;2;95;26
82;1;13;7;2;70;24
79;1;20;4;3;55;30
79;1;18;5;2;71;21
78;1;19;6;2;56;26
80;1;5;4;2;79;25
80;1;20;7;2;67;20
84;3;19;9;3;85;17
80;1;19;5;3;63;20
80;2;0;6;1;94;18
80;1;17;4;3;66;28
79;2;0;5;2;86;29
82;1;11;9;1;69;29
78;1;18;9;5;51;23
79;2;11;9;2;74;25
79;3;2;9;4;88;22
84;2;7;3;2;89;20
78;2;7;9;1;81;22
80;2;0;10;2;88;20
79;1;8;9;3;68;23
78;2;1;4;2;84;29
81;1;5;4;3;75;19
79;1;8;7;1;78;18
79;2;22;8;2;66;19
81;1;2;3;2;81;22
83;2;0;5;2;96;21
78;1;1;9;2;72;26
76;1;7;5;2;67;30
76;1;17;2;3;63;23
81;2;5;7;1;84;29
82;1;6;9;2;79;22
79;1;1;8;3;71;27
80;1;6;6;2;74;19
79;1;10;9;3;60;30
81;1;3;1;3;81;18
84;1;1;8;3;77;25
82;1;17;8;2;60;34
79;3;1;6;4;90;24
81;1;5;7;3;65;30
78;1;18;4;1;64;28
79;1;9;4;4;68;24
81;1;17;10;3;64;25
80;3;17;10;4;69;38
79;2;17;5;5;70;25
78;2;11;7;2;86;15
81;3;12;3;1;96;24
78;1;4;3;2;72;30
79;2;18;8;2;72;18
80;2;17;4;1;77;17
81;3;13;8;2;88;20
81;1;3;7;1;79;25
82;2;7;9;3;81;30
80;1;11;9;2;68;20
79;2;9;1;4;71;30
80;1;1;7;3;75;20
79;2;19;6;1;72;33
80;1;15;10;1;65;27
80;3;9;0;3;95;25
78;3;18;4;1;91;16
78;0;19;1;2;55;33
80;2;22;7;3;63;30
79;1;1;6;4;69;29
83;1;0;6;3;77;21
82;2;14;9;2;70;28
78;1;6;6;2;72;21
81;1;14;7;2;66;30
82;1;15;9;2;64;29
79;2;4;7;2;76;27
80;3;10;9;4;77;22
84;2;18;7;3;76;22
79;3;6;3;3;85;29
80;3;0;6;2;103;19
76;1;16;6;1;67;22
80;2;8;7;2;85;22
82;1;4;1;2;86;19
82;1;7;9;2;75;25
82;1;1;8;4;75;16
77;2;3;5;4;82;20
76;0;18;3;3;49;30
80;1;1;9;3;78;19
80;1;1;2;3;81;29
80;3;8;9;2;87;25
79;2;9;8;1;83;16
80;2;0;7;3;83;21
83;2;3;8;1;97;17
79;1;9;8;2;66;28
81;1;5;6;4;70;24
81;1;20;4;2;61;21
80;1;2;3;3;78;20
80;1;12;4;4;58;32
83;1;4;1;3;86;21
79;2;1;7;4;82;19
80;1;1;8;3;72;20
81;2;20;4;4;74;17
82;3;20;4;4;79;20
83;1;2;2;2;83;25
78;1;6;1;4;63;28
78;1;3;6;2;75;24
80;1;0;9;3;77;20
79;0;16;1;1;66;27
79;2;21;8;2;69;22
78;1;1;4;2;80;30
77;2;6;1;2;83;22
79;1;21;2;3;62;32
80;1;14;3;2;62;37
81;1;10;6;3;66;28
79;3;16;4;1;88;22
81;1;12;2;2;74;21
81;2;10;5;2;81;23
80;1;18;8;2;66;27
77;1;1;8;2;73;26
81;1;3;3;2;81;18
80;2;18;8;3;74;20
82;2;18;4;3;66;38
80;2;0;1;3;90;27
80;2;2;4;3;79;31
80;3;13;1;1;100;27
80;0;10;7;3;64;18
80;3;14;7;2;77;32
79;2;18;4;3;68;28
82;1;8;6;3;77;20
80;2;5;4;3;80;27
81;3;16;2;1;87;29
77;1;1;9;2;68;24
80;2;12;9;3;74;27
79;1;18;5;3;61;27
81;0;4;6;2;73;19
80;3;15;9;2;84;16
81;1;0;8;2;80;18
82;1;20;9;2;59;26
80;1;6;8;4;64;30
81;0;2;7;2;75;18
81;2;2;1;2;97;16
79;2;4;9;3;77;22
80;1;12;1;2;82;17
81;1;5;9;4;68;24
77;0;11;9;3;53;24
82;1;22;10;1;57;26
79;1;5;9;2;67;28
80;2;12;0;3;87;17
80;1;10;1;3;70;33
79;0;12;8;4;55;21
79;3;17;10;2;82;19
80;1;21;8;2;56;34
80;1;0;7;2;79;24
80;1;21;9;2;65;18
77;1;21;8;2;56;24
80;3;18;7;2;77;27
83;1;18;5;2;70;21
81;3;2;8;2;98;22
79;1;0;5;1;83;24
78;2;14;1;1;82;26
82;0;19;5;3;50;39
82;1;21;1;2;69;28
82;1;0;7;2;79;17
80;3;0;7;1;99;19
81;1;14;0;1;73;36
79;1;0;8;3;71;25
76;1;12;0;2;70;29
80;1;9;6;2;68;36
82;4;16;8;2;91;27
80;3;2;8;3;93;22
76;2;17;3;2;78;24
80;2;7;9;3;82;21
80;1;1;7;4;74;25
83;1;18;9;2;60;29
82;2;0;7;2;86;27
78;1;6;3;2;73;28
82;1;21;8;3;65;20
80;1;21;6;2;57;28
80;1;0;1;1;80;28
81;1;11;6;3;75;18
78;1;8;1;2;78;25
82;2;3;6;4;76;26
80;2;21;3;3;75;21
83;1;18;1;2;72;22
80;1;1;6;2;83;22
84;3;20;3;2;87;24
83;2;0;3;2;97;20
80;2;3;7;3;81;23
76;1;2;6;3;72;25
79;1;14;3;3;68;22
78;1;11;9;3;61;18
80;3;7;9;2;91;18
82;1;1;9;3;73;18
79;2;5;2;2;84;28
81;2;17;4;1;80;31
81;2;2;6;3;77;30
81;1;18;1;5;59;33
81;2;0;8;3;83;25
80;2;17;1;1;81;18
80;3;3;8;2;90;32
80;0;15;8;2;56;30
81;1;16;8;5;56;23
80;2;10;5;1;85;21
84;2;2;4;2;92;30
79;2;6;4;2;73;34
81;2;17;5;3;75;21
78;1;0;10;2;70;33
81;1;5;7;2;72;33
80;1;18;7;1;69;22
82;1;5;3;3;86;17
80;1;4;9;2;69;36
79;0;16;8;3;53;21
78;2;3;5;2;81;30
79;3;2;9;3;88;30
79;1;14;5;3;66;23
82;2;14;9;2;71;29
80;0;19;9;3;47;32
79;1;15;9;2;69;19
80;3;19;3;3;80;27
79;1;4;1;1;85;24
82;1;2;1;3;79;25
78;0;6;8;2;63;24
81;2;15;7;1;77;34
81;2;2;6;3;82;27
80;3;14;4;3;85;22
81;0;20;8;2;57;18
81;3;3;4;2;107;19
79;1;15;0;2;67;27
79;1;8;8;2;63;35
80;1;2;8;3;75;25
78;2;9;2;3;79;20
82;1;20;9;4;57;25
79;2;13;7;4;70;23
82;1;9;9;1;73;22
82;1;13;1;3;72;22
81;3;0;1;3;103;24
81;2;15;8;1;80;22
77;1;16;6;3;58;31
80;3;21;5;2;79;26
83;2;14;4;3;78;23
80;2;13;9;4;73;23
76;1;0;4;2;76;20
79;1;12;3;4;68;23
80;2;0;1;3;90;20
80;2;13;6;1;78;19
80;1;3;8;2;82;17
79;2;17;9;2;68;32
81;1;1;4;3;79;28
80;3;1;6;2;96;23
79;1;21;9;3;55;19
82;2;17;7;2;76;26
77;2;11;4;1;88;19
79;2;18;5;2;70;27
81;1;6;7;5;64;30
80;2;18;2;2;78;20
80;2;1;0;3;92;21
80;3;10;8;2;100;17
79;2;15;8;3;78;17
80;2;21;3;1;72;26
78;2;3;7;4;81;15
80;1;8;9;1;74;25
80;1;10;9;3;70;18
79;3;22;9;4;71;21
81;1;9;3;1;83;16
81;2;7;0;4;81;33
79;2;13;1;2;79;23
80;1;18;8;4;60;20
80;2;12;5;3;73;26
81;0;0;7;4;59;36
79;3;1;2;2;98;22
82;1;1;8;2;77;26
81;2;0;3;1;96;22
81;2;19;7;3;74;21
79;1;21;8;4;52;25
78;3;21;5;2;68;35
80;2;6;7;2;77;37
82;2;19;1;1;86;22
81;3;21;7;4;73;26
78;1;15;9;3;56;30
80;3;3;2;3;100;17
81;1;19;1;2;63;29
81;1;0;3;1;91;19
79;0;0;1;2;73;22
77;2;17;0;1;82;16
81;1;5;3;2;85;15
82;3;3;1;4;99;24
78;1;17;1;4;59;30
79;1;7;9;4;60;27
84;1;8;0;1;84;22
80;2;8;4;2;87;21
81;2;18;9;2;78;18
80;2;16;9;4;66;25
81;1;14;9;4;57;25
77;1;1;9;3;75;18
79;2;16;8;4;70;24
81;1;5;5;4;72;22
78;1;8;0;3;70;31
82;2;7;7;3;90;18
77;1;19;7;3;53;23
77;2;5;5;1;81;38
79;1;12;4;4;64;26
81;2;13;6;3;82;16
81;2;17;3;2;86;17
81;1;21;8;3;60;18
79;1;1;7;2;71;27
81;3;3;7;2;102;21
81;2;3;4;3;82;24
79;0;19;7;3;54;17
81;1;20;7;3;55;29
